Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,2272.18,2302.11,2272.18,2286.5,19199478
2022-01-04,2293.18,2301.76,2281.04,2300.68,22490984
2022-01-05,2296.7,2310.97,2283.63,2310.97,23373146
2022-01-07,2309.61,2314.16,2278.63,2311.93,29717898
2022-01-10,2311.34,2328.41,2289.59,2291.23,22612381
2022-01-11,2300.38,2345.44,2296.03,2344.45,30819446
2022-01-12,2350.99,2411.11,2350.99,2411.11,46032724
2022-01-13,2406.83,2429.03,2397.64,2407.62,36970690
2022-01-14,2402.92,2413.59,2370.11,2383.16,25178257
2022-01-17,2378.9,2387.33,2359.3,2365.29,21176576
2022-01-18,2361.68,2361.68,2317.23,2317.36,18960400
2022-01-19,2304.66,2337.74,2291.46,2316.94,49751038
2022-01-20,2321.6,2331.17,2299.73,2308.94,26137023
2022-01-21,2298.12,2298.12,2257.71,2273.81,26128033
2022-01-24,2270.73,2282.96,2153.81,2170.36,36076252
2022-01-25,2170.85,2214.87,2170.45,2199.6,30000323
2022-01-26,2204.53,2245.72,2204.53,2233.18,22167053
2022-01-27,2218.18,2241.77,2197.75,2234.33,23453415
2022-01-28,2232.26,2232.26,2167.61,2183.7,31306719
2022-01-31,2198.34,2218.58,2191.24,2209.62,30045742
2022-02-01,2219.99,2238.58,2210.41,2224.28,17504732
2022-02-02,2229.44,2262.18,2221.3,2252.92,29148730
2022-02-03,2249.4,2250.75,2225.26,2235.15,34103265
2022-02-04,2239.14,2242.69,2174.57,2174.57,25596861
2022-02-07,2181.87,2201.4,2149.25,2171.62,22236994
2022-02-08,2176,2215.12,2171.41,2215.12,24286851
2022-02-09,2220.47,2236.48,2216.91,2235.93,25305849
2022-02-10,2235.91,2244.73,2201.11,2213.21,17315981
2022-02-11,2203.02,2203.52,2172.72,2203.13,17730754
2022-02-14,2154.92,2172.61,2119.71,2161.79,27764279
2022-02-15,2170.43,2222.01,2170.43,2209.7,22095447
2022-02-16,2224.29,2246.54,2201.69,2212.73,22236495
2022-02-17,2215.9,2218.3,2168.46,2175.61,22293179
2022-02-18,2172.08,2188.88,2143.28,2143.28,17809904
2022-02-21,2149.19,2162.8,2059.49,2069.53,21359833
2022-02-22,2038.58,2106.97,2010.54,2101.31,37638697
2022-02-23,2110.35,2129.52,2038.99,2038.99,28617300
2022-02-24,1929.14,1929.14,1781.02,1817.45,78798629
2022-02-25,1850.34,1993.78,1850.34,1970.78,51008657
2022-02-28,1937.89,2010.06,1890.33,1999.88,77832182
2022-03-01,2006.15,2050.89,1964.71,1967.01,56777151
2022-03-02,1966.4,2043.96,1954.93,2043.96,75617073
2022-03-03,2053.82,2068.52,2005.47,2009.56,71579870
2022-03-04,2000.16,2000.16,1894.88,1918.75,53300653
2022-03-07,1898.74,1956.36,1860.1,1934.94,86731087
2022-03-08,1922.98,1971.77,1899.22,1908.1,45469938
2022-03-09,1937.96,1981.13,1933.67,1973.25,43610933
2022-03-10,1983.05,1992.24,1950.24,1970.27,36313002
2022-03-11,1983.15,2045.15,1983.15,2033.49,37212037
2022-03-14,2038.11,2038.11,1972.14,1972.14,30396993
2022-03-15,1968.78,2018.37,1950.63,1999.93,30434572
2022-03-16,2018.99,2067.13,2018.99,2060.07,44616127
2022-03-17,2070.66,2125.29,2070.66,2125.29,40720750
2022-03-18,2122.59,2137.12,2088.08,2099.26,77177033
2022-03-21,2098.58,2125.13,2082.38,2093.04,29748142
2022-03-22,2096.64,2125.06,2096.5,2121.52,26063336
2022-03-23,2129.62,2148.04,2103.09,2120.86,17607377
2022-03-24,2130.03,2154.29,2112.6,2138.8,27066677
2022-03-25,2142.22,2147.17,2098.97,2115.58,22949123
2022-03-28,2112.73,2143.35,2112.73,2123.12,23780969
2022-03-29,2134.55,2182.97,2107.74,2171.56,34981748
2022-03-30,2178.29,2187.85,2158.86,2179.56,26878998
2022-03-31,2177.34,2182.92,2133.05,2133.05,26642867
2022-04-01,2143.61,2168.05,2142.22,2164.81,17117915
2022-04-04,2171.43,2181.17,2144.42,2157.79,23129997
2022-04-05,2164.28,2170.09,2120.76,2123.49,17813646
2022-04-06,2124.38,2127.28,2083.93,2107.82,23044216
2022-04-07,2110.89,2116.47,2076.63,2076.63,24833644
2022-04-08,2089.75,2105.49,2073.85,2085.07,19447283
2022-04-11,2081.23,2121.65,2066.56,2121.65,21235688
2022-04-12,2115.34,2115.34,2091.76,2094.01,24570063
2022-04-13,2103.07,2112.82,2087.13,2104.32,17596427
2022-04-14,2109.37,2116.4,2088.7,2093.17,12880838
2022-04-19,2098.17,2103.49,2046.24,2068.52,27960183
2022-04-20,2076.95,2094.91,2047.81,2047.81,23607467
2022-04-21,2059.4,2068.7,2028.76,2028.76,26014297
2022-04-22,2028.28,2028.28,1973.31,1973.31,19516415
2022-04-25,1951.03,1966.8,1909.93,1919.55,30619382
2022-04-26,1938.86,1951.36,1894.28,1896.46,26237563
2022-04-27,1897.03,1898.84,1867.06,1883.09,24602616
2022-04-28,1903.66,1916.25,1872.1,1884.42,25554833
2022-04-29,1898.54,1915.32,1850.37,1858.12,33612931
2022-05-02,1854.26,1854.26,1816.5,1824.05,15501498
2022-05-04,1834.06,1836.87,1808.2,1812.56,28732037
2022-05-05,1832.6,1849.71,1765.85,1765.85,31284131
2022-05-06,1763.62,1765.14,1717.48,1765.14,25818498
2022-05-09,1757.77,1759.99,1724.48,1727.34,16714297
2022-05-10,1735.81,1748.73,1703.9,1719.24,30847998
2022-05-11,1728.7,1744.76,1710.15,1718.07,29858726
2022-05-12,1692.71,1713.59,1652.3,1691.62,35732334
2022-05-13,1709.53,1774.92,1709.53,1765.63,27382859
2022-05-16,1761.15,1796.3,1746.66,1762.22,24959057
2022-05-17,1777.41,1818.05,1769.03,1800.55,33003315
2022-05-18,1807.17,1827.63,1801.68,1801.68,30956310
2022-05-19,1780.36,1789.69,1753.51,1776.4,30977818
